time;NETWORK__BUS__A_TN_Upu_value;NETWORK__BUS__B_TN_Upu_value;NETWORK__BUS__A2_TN_Upu_value;NETWORK__BUS__B2_TN_Upu_value;NETWORK__BUS__C_TN_Upu_value;NETWORK__BUS__E_TN_Upu_value;NETWORK__BUS__F_TN_Upu_value;GFLVSC_WP1_injectorGFL_PGenPu;GFLVSC_WP1_injectorGFL_QGenPu;GFLVSC_WP1_injectorGFL_UConvPu;GFLVSC_WP1_injectorGFL_UPccPu;GFLVSC_WP2_injectorGFL_PGenPu;GFLVSC_WP2_injectorGFL_QGenPu;GFLVSC_WP2_injectorGFL_UConvPu;GFLVSC_WP2_injectorGFL_UPccPu;GFLVSC_HVDC1_injectorGFL_PGenPu;GFLVSC_HVDC1_injectorGFL_QGenPu;GFLVSC_HVDC1_injectorGFL_UConvPu;GFLVSC_HVDC1_injectorGFL_UPccPu;GFLVSC_HVDC2_injectorGFL_PGenPu;GFLVSC_HVDC2_injectorGFL_QGenPu;GFLVSC_HVDC2_injectorGFL_UConvPu;GFLVSC_HVDC2_injectorGFL_UPccPu;InfBus_infiniteBus_UBus0Pu;InfBus_infiniteBus_UPhaseBus0;
0.05500;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03740;0.82985;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01060;1.03740;0.95376;-0.04479;1.02434;1.01651;0.82007;0.29644;1.07281;1.01847;1.88669;-1.00574;
0.05600;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03740;0.82985;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01060;1.03740;0.95376;-0.04479;1.02434;1.01651;0.82007;0.29643;1.07281;1.01847;1.88669;-1.00574;
0.05700;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03740;0.82985;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01060;1.03740;0.95376;-0.04479;1.02434;1.01651;0.82007;0.29643;1.07281;1.01847;1.88669;-1.00574;
0.05800;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03740;0.82985;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01060;1.03740;0.95376;-0.04479;1.02434;1.01651;0.82007;0.29643;1.07281;1.01847;1.88669;-1.00574;
0.05900;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03740;0.82985;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01060;1.03740;0.95376;-0.04480;1.02434;1.01651;0.82007;0.29643;1.07281;1.01847;1.88669;-1.00574;
0.06000;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03740;0.82984;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01060;1.03740;0.95376;-0.04480;1.02434;1.01651;0.82007;0.29643;1.07281;1.01847;1.88669;-1.00574;
0.06100;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03740;0.82984;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01060;1.03740;0.95376;-0.04480;1.02434;1.01651;0.82007;0.29643;1.07281;1.01847;1.88669;-1.00574;
0.06200;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03740;0.82984;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01060;1.03740;0.95376;-0.04480;1.02434;1.01651;0.82007;0.29643;1.07281;1.01847;1.88669;-1.00574;
0.06300;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03740;0.82984;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01060;1.03740;0.95376;-0.04480;1.02433;1.01651;0.82007;0.29643;1.07281;1.01847;1.88669;-1.00574;
0.06400;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03740;0.82984;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01060;1.03740;0.95376;-0.04480;1.02433;1.01651;0.82007;0.29643;1.07281;1.01847;1.88669;-1.00574;
0.06500;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03740;0.82984;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01060;1.03740;0.95376;-0.04480;1.02433;1.01651;0.82007;0.29643;1.07281;1.01847;1.88669;-1.00574;
0.06600;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03740;0.82984;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01060;1.03740;0.95376;-0.04480;1.02433;1.01651;0.82007;0.29643;1.07281;1.01847;1.88669;-1.00574;
0.06700;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03740;0.82984;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01060;1.03740;0.95376;-0.04480;1.02433;1.01651;0.82007;0.29643;1.07281;1.01847;1.88669;-1.00574;
0.06800;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03740;0.82984;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01060;1.03740;0.95376;-0.04480;1.02433;1.01651;0.82007;0.29643;1.07281;1.01847;1.88669;-1.00574;
0.06900;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03740;0.82984;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01060;1.03740;0.95376;-0.04480;1.02433;1.01651;0.82007;0.29643;1.07281;1.01847;1.88669;-1.00574;
0.07000;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03740;0.82984;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01059;1.03740;0.95376;-0.04480;1.02433;1.01651;0.82007;0.29643;1.07281;1.01847;1.88669;-1.00574;
0.07100;1.01651;1.01847;1.05093;1.02592;1.00058;1.06872;1.03740;0.82984;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01059;1.03740;0.95376;-0.04480;1.02433;1.01651;0.82007;0.29643;1.07281;1.01847;1.88669;-1.00574;
0.07200;1.01651;1.01847;1.05093;1.02591;1.00058;1.06872;1.03740;0.82984;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01059;1.03740;0.95376;-0.04480;1.02433;1.01651;0.82007;0.29643;1.07281;1.01847;1.88669;-1.00574;
0.07300;1.01651;1.01847;1.05093;1.02591;1.00058;1.06872;1.03740;0.82984;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01059;1.03740;0.95376;-0.04480;1.02433;1.01651;0.82007;0.29642;1.07281;1.01847;1.88669;-1.00574;
0.07400;1.01651;1.01847;1.05093;1.02591;1.00058;1.06872;1.03740;0.82984;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01059;1.03740;0.95376;-0.04480;1.02433;1.01651;0.82007;0.29642;1.07281;1.01847;1.88669;-1.00574;
0.07500;1.01651;1.01847;1.05093;1.02591;1.00058;1.06872;1.03740;0.82984;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01059;1.03740;0.95376;-0.04480;1.02433;1.01651;0.82007;0.29642;1.07281;1.01847;1.88669;-1.00574;
0.07600;1.01651;1.01847;1.05093;1.02591;1.00058;1.06872;1.03740;0.82984;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01059;1.03740;0.95376;-0.04480;1.02433;1.01651;0.82007;0.29642;1.07281;1.01847;1.88669;-1.00574;
0.07700;1.01651;1.01847;1.05093;1.02591;1.00058;1.06872;1.03740;0.82984;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01059;1.03740;0.95376;-0.04480;1.02433;1.01651;0.82007;0.29642;1.07281;1.01847;1.88669;-1.00574;
0.07800;1.01651;1.01847;1.05093;1.02591;1.00058;1.06872;1.03740;0.82984;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01059;1.03740;0.95376;-0.04481;1.02433;1.01651;0.82006;0.29642;1.07281;1.01847;1.88669;-1.00574;
0.07900;1.01651;1.01847;1.05093;1.02591;1.00058;1.06872;1.03740;0.82984;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01059;1.03740;0.95376;-0.04481;1.02433;1.01651;0.82006;0.29642;1.07280;1.01847;1.88669;-1.00574;
0.08000;1.01651;1.01846;1.05093;1.02591;1.00058;1.06872;1.03740;0.82984;-0.06643;1.06924;1.06872;0.82988;-0.30705;1.01059;1.03740;0.95376;-0.04481;1.02433;1.01651;0.82006;0.29642;1.07280;1.01846;1.88669;-1.00574;
