X axis;1VSC_Measurement_Control/idref;1VSC_Measurement_Control/iqref;1VSC_Measurement_Control/ppcc;1VSC_Measurement_Control/qpcc;p3/va_t;p5/va_t;
Time (s);;;;;;;

746.75E-3;901.03523592E-3;-116.41649426E-3;933.34424077E-3;98.235805619E-3;-239.2841346E3;-203.21499419E3;
746.8E-3;900.98508083E-3;-116.37079358E-3;933.27612669E-3;98.235770395E-3;-242.86812182E3;-207.25550019E3;
746.85E-3;900.93495979E-3;-116.32508735E-3;933.20803215E-3;98.235655644E-3;-246.39239356E3;-211.24499774E3;
746.9E-3;900.88487279E-3;-116.27937565E-3;933.13995717E-3;98.235461482E-3;-249.85608235E3;-215.18250373E3;
746.95E-3;900.83481982E-3;-116.23365854E-3;933.07190178E-3;98.235188027E-3;-253.25833562E3;-219.06704787E3;
747E-3;900.78480088E-3;-116.18793611E-3;933.00386602E-3;98.234835394E-3;-256.59831592E3;-222.89767289E3;
747.05E-3;900.73481595E-3;-116.14220842E-3;932.93584992E-3;98.234403702E-3;-259.87520111E3;-226.67343482E3;
747.1E-3;900.68486503E-3;-116.09647555E-3;932.86785351E-3;98.233893068E-3;-263.08818456E3;-230.39340317E3;
747.15E-3;900.6349481E-3;-116.05073757E-3;932.79987683E-3;98.233303611E-3;-266.23647538E3;-234.0566612E3;
747.2E-3;900.58506515E-3;-116.00499456E-3;932.7319199E-3;98.23263545E-3;-269.31929858E3;-237.66230613E3;
747.25E-3;900.53521617E-3;-115.95924659E-3;932.66398276E-3;98.231888702E-3;-272.33589528E3;-241.20944935E3;
747.3E-3;900.48540116E-3;-115.91349374E-3;932.59606544E-3;98.231063487E-3;-275.28552287E3;-244.69721668E3;
747.35E-3;900.4356201E-3;-115.86773607E-3;932.52816797E-3;98.230159925E-3;-278.16745524E3;-248.12474855E3;
747.4E-3;900.38587299E-3;-115.82197366E-3;932.46029038E-3;98.229178135E-3;-280.98098292E3;-251.49120021E3;
747.45E-3;900.3361598E-3;-115.77620658E-3;932.39243272E-3;98.228118237E-3;-283.72541326E3;-254.79574196E3;
747.5E-3;900.28648055E-3;-115.73043491E-3;932.324595E-3;98.226980353E-3;-286.40007063E3;-258.03755934E3;
747.55E-3;900.2368352E-3;-115.68465872E-3;932.25677726E-3;98.225764601E-3;-289.00429654E3;-261.21585334E3;
747.6E-3;900.18722377E-3;-115.63887808E-3;932.18897954E-3;98.224471104E-3;-291.53744985E3;-264.32984058E3;
747.65E-3;900.13764622E-3;-115.59309306E-3;932.12120186E-3;98.223099982E-3;-293.99890688E3;-267.37875354E3;
747.7E-3;900.08810256E-3;-115.54730374E-3;932.05344426E-3;98.221651358E-3;-296.38806161E3;-270.36184069E3;
747.75E-3;900.03859277E-3;-115.50151018E-3;931.98570677E-3;98.220125353E-3;-298.70432578E3;-273.27836674E3;
747.8E-3;899.98911685E-3;-115.45571247E-3;931.91798943E-3;98.218522088E-3;-300.94712911E3;-276.12761277E3;
747.85E-3;899.93967478E-3;-115.40991067E-3;931.85029226E-3;98.216841687E-3;-303.11591933E3;-278.90887644E3;
747.9E-3;899.89026655E-3;-115.36410485E-3;931.78261529E-3;98.215084272E-3;-305.21016244E3;-281.62147216E3;
747.95E-3;899.84089216E-3;-115.31829509E-3;931.71495857E-3;98.213249966E-3;-307.22934274E3;-284.26473122E3;
748E-3;899.79155159E-3;-115.27248146E-3;931.64732212E-3;98.211338893E-3;-309.17296302E3;-286.83800201E3;
748.05E-3;899.74224483E-3;-115.22666403E-3;931.57970597E-3;98.209351174E-3;-311.04054464E3;-289.34065016E3;
748.1E-3;899.69297187E-3;-115.18084287E-3;931.51211016E-3;98.207286936E-3;-312.83162768E3;-291.77205867E3;
748.15E-3;899.64373271E-3;-115.13501805E-3;931.44453472E-3;98.2051463E-3;-314.54577105E3;-294.13162811E3;
748.2E-3;899.59452733E-3;-115.08918964E-3;931.37697969E-3;98.202929392E-3;-316.18255259E3;-296.41877673E3;
748.25E-3;899.54535573E-3;-115.04335772E-3;931.30944508E-3;98.200636335E-3;-317.74156914E3;-298.6329406E3;
748.3E-3;899.49621788E-3;-114.99752236E-3;931.24193094E-3;98.198267255E-3;-319.22243673E3;-300.7735738E3;
