time;GFLVSC_controlGFL_activePowerLoop_idRefPu;GFLVSC_controlGFL_reactivePowerLoop_iqRefPu;GFLVSC_injectorGFL_PGenPu;GFLVSC_injectorGFL_QGenPu;GFLVSC_injectorGFL_UConvPu;GFLVSC_injectorGFL_UPccPu;
3.186980;0.977103;-0.215712;0.981832;0.225703;1.063612;1.035980;
3.186982;0.977098;-0.215706;0.981850;0.225694;1.063608;1.035977;
3.186986;0.977096;-0.215693;0.981885;0.225676;1.063601;1.035972;
3.186994;0.977102;-0.215667;0.981955;0.225640;1.063587;1.035960;
3.187010;0.977117;-0.215615;0.982091;0.225566;1.063558;1.035937;
3.187042;0.977145;-0.215512;0.982354;0.225417;1.063500;1.035890;
3.187106;0.977199;-0.215305;0.982842;0.225108;1.063382;1.035796;
3.187234;0.977311;-0.214894;0.983685;0.224447;1.063132;1.035606;
3.187490;0.977549;-0.214078;0.984964;0.222966;1.062584;1.035209;
3.188002;0.978081;-0.212478;0.986506;0.219514;1.061338;1.034355;
3.189026;0.979254;-0.209420;0.987788;0.211746;1.058572;1.032540;
3.191074;0.981497;-0.203861;0.988296;0.196472;1.053150;1.029054;
3.191230;0.981644;-0.203475;0.988283;0.195419;1.052775;1.028814;
3.191230;0.981644;-0.203475;0.988287;0.195416;1.052775;1.028814;
3.191231;0.981643;-0.203472;0.988287;0.195410;1.052773;1.028813;
3.191232;0.981641;-0.203469;0.988287;0.195402;1.052770;1.028811;
3.191234;0.981638;-0.203464;0.988287;0.195387;1.052765;1.028808;
3.191238;0.981632;-0.203453;0.988288;0.195358;1.052755;1.028801;
3.191246;0.981619;-0.203432;0.988289;0.195299;1.052734;1.028788;
3.191262;0.981595;-0.203389;0.988291;0.195180;1.052691;1.028761;
3.191294;0.981545;-0.203303;0.988290;0.194943;1.052607;1.028706;
3.191358;0.981446;-0.203131;0.988276;0.194465;1.052437;1.028598;
3.191486;0.981247;-0.202791;0.988205;0.193499;1.052095;1.028382;
3.191742;0.980851;-0.202118;0.987928;0.191537;1.051403;1.027950;
3.192254;0.980064;-0.200809;0.987042;0.187557;1.050004;1.027088;
3.193278;0.978513;-0.198330;0.984716;0.179779;1.047277;1.025431;
3.195326;0.975515;-0.193862;0.979730;0.166133;1.042492;1.022558;
3.197374;0.972616;-0.189808;0.974938;0.154627;1.038447;1.020150;
3.201470;0.967155;-0.182857;0.966702;0.138492;1.032783;1.016839;
3.205566;0.961985;-0.176692;0.959590;0.127496;1.028929;1.014643;
3.209662;0.957070;-0.171049;0.953376;0.120112;1.026363;1.013237;
3.217854;0.947753;-0.160474;0.942428;0.110558;1.023105;1.011566;
3.226046;0.939191;-0.150647;0.933248;0.106635;1.021863;1.011116;
3.242430;0.924045;-0.131896;0.917456;0.102440;1.020659;1.010930;
3.258814;0.912315;-0.115212;0.904844;0.097522;1.019111;1.010403;
3.275198;0.902385;-0.100510;0.893610;0.090118;1.016608;1.009214;
3.291582;0.893831;-0.087719;0.883676;0.081865;1.013759;1.007753;
3.307966;0.886669;-0.077177;0.875176;0.073947;1.010981;1.006290;
3.340734;0.875265;-0.061199;0.861571;0.060630;1.006292;1.003790;
3.373502;0.867350;-0.051332;0.852167;0.051193;1.002941;1.001991;
3.439038;0.857595;-0.041434;0.840923;0.041106;0.999368;1.000114;
3.496207;0.853637;-0.039353;0.836673;0.038554;0.998489;0.999703;
3.553376;0.851706;-0.039258;0.834775;0.038269;0.998421;0.999725;
3.610546;0.850787;-0.039600;0.833977;0.038635;0.998575;0.999850;
3.667715;0.850351;-0.039856;0.833632;0.038967;0.998706;0.999945;
3.782053;0.850170;-0.039942;0.833491;0.039117;0.998765;0.999987;
4.010730;0.850052;-0.039946;0.833385;0.039151;0.998780;1.000000;
4.468084;0.850008;-0.039936;0.833343;0.039151;0.998780;1.000002;
5.382792;0.849999;-0.039932;0.833334;0.039149;0.998780;1.000002;
7.212208;0.849998;-0.039932;0.833333;0.039149;0.998780;1.000002;
8.000000;0.849998;-0.039932;0.833333;0.039149;0.998780;1.000002;
